Vd Vg Vs Vb Lg Ids qd  
0.56 0.343434343434 0 0 1e-06 3.69104505066e-07 -2.75807904404e-08
0.67 0.343434343434 0 0 1e-06 3.69104507961e-07 -3.94559741078e-10
0.78 0.343434343434 0 0 1e-06 3.69104508003e-07 -5.64441362244e-12
0.89 0.343434343434 0 0 1e-06 3.69104508003e-07 -8.07467205198e-14
1.0 0.343434343434 0 0 1e-06 3.69104508003e-07 -1.15513024219e-15
0.01 0.363636363636 0 0 1e-06 7.0946436357e-08 -1.91832195464
0.12 0.363636363636 0 0 1e-06 4.45606889556e-07 -0.435537884638
0.23 0.363636363636 0 0 1e-06 5.02017559029e-07 -0.0194144099182
0.34 0.363636363636 0 0 1e-06 5.04077963881e-07 -0.000293731800632
0.45 0.363636363636 0 0 1e-06 5.04108799943e-07 -4.20576496668e-06
0.56 0.363636363636 0 0 1e-06 5.04109241392e-07 -6.01667763364e-08
0.67 0.363636363636 0 0 1e-06 5.04109247708e-07 -8.60721803607e-10
0.78 0.363636363636 0 0 1e-06 5.04109247798e-07 -1.23131413766e-11
0.89 0.363636363636 0 0 1e-06 5.04109247799e-07 -1.76146868738e-13
1.0 0.363636363636 0 0 1e-06 5.04109247799e-07 -2.51988655188e-15
0.01 0.383838383838 0 0 1e-06 8.87296400237e-08 -2.33403344138
0.12 0.383838383838 0 0 1e-06 5.84816785608e-07 -0.613200954936
0.23 0.383838383838 0 0 1e-06 6.69696982175e-07 -0.0399542488785
0.34 0.383838383838 0 0 1e-06 6.73986333727e-07 -0.000640089135019
0.45 0.383838383838 0 0 1e-06 6.74053543788e-07 -9.17462509766e-06
0.56 0.383838383838 0 0 1e-06 6.74054506787e-07 -1.31252256259e-07
0.67 0.383838383838 0 0 1e-06 6.74054520563e-07 -1.87764220744e-09
0.78 0.383838383838 0 0 1e-06 6.7405452076e-07 -2.68607973657e-11
0.89 0.383838383838 0 0 1e-06 6.74054520763e-07 -3.8425980853e-13
1.0 0.383838383838 0 0 1e-06 6.74054520763e-07 -5.49706691285e-15
0.01 0.40404040404 0 0 1e-06 1.08211172012e-07 -2.78758073032
0.12 0.40404040404 0 0 1e-06 7.50696045674e-07 -0.828960882471
0.23 0.40404040404 0 0 1e-06 8.73796353489e-07 -0.0782928814576
0.34 0.40404040404 0 0 1e-06 8.82379992006e-07 -0.00139314630545
0.45 0.40404040404 0 0 1e-06 8.82526336816e-07 -2.00135322674e-05
0.56 0.40404040404 0 0 1e-06 8.82528437515e-07 -2.86323380146e-07
0.67 0.40404040404 0 0 1e-06 8.82528467568e-07 -4.09602759496e-09
0.78 0.40404040404 0 0 1e-06 8.82528467998e-07 -5.85961301874e-11
0.89 0.40404040404 0 0 1e-06 8.82528468004e-07 -8.38252768892e-13
